Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Leenen, Bing";1.0;NED;M;1541;1941;+0.08; 0.0; 0.0
2;"Altay, Cagan Deniz";1.0;NED;M;1484;1884;+0.08; 0.0; 0.0
3;"Küçük, Çinar";1.0;NED;M;1358;1838;+0.13; 0.0; 0.0
4;"Brik, Yazan";1.0;NED;M;1321;1721;+0.08; 0.0; 0.0
5;"Traas, Boaz";1.0;NED;M;1314;1714;+0.08; 0.0; 0.0
6;"Methlouthi, Youssef";1.0;NED;M;1266;0;+0.00; 0.0; 0.0
7;"Lalkota, Srikar";1.0;NED;M;1218;1618;+0.08; 0.0; 0.0
8;"Do, Leo";1.0;NED;M;1216;0;+0.00; 0.0; 0.0
9;"Ajvazian, Alex";1.0;NED;M;1189;0;+0.00; 0.0; 0.0
10;"Mysore, Dhyaan";0.0;NED;M;1083;683;-0.08; 1.0; 0.0
11;"Marupudi, Maurya Kiran";0.0;NED;M;1038;638;-0.08; 1.0; 0.0
12;"Van der Aalst, Sevein";0.0;NED;M;1038;558;-0.13; 1.0; 0.0
13;"Hart, Sage";0.0;NED;M;916;516;-0.08; 1.0; 0.0
14;"Gupta, Kiaan";0.0;NED;M;814;414;-0.08; 1.0; 0.0
15;"Gang, Max Wan Xi";0.0;NED;M;717 *;466;0; 1.0; 0.0
16;"Sahu, Chirayush";0.0;NED;M;460;60;-0.08; 1.0; 0.0
17;"Metha, Kabir";0.0;NED;M;0;416;0; 1.0; 0.0
18;"Ramidi,Svaksha Idhayan";0.0;NED;M;0 *;389;0; 1.0; 0.0
