Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Plukkel, Guus";2.0;NED;M;1674;2225;+0.39; 2.0; 2.0
2;"Zhou, Yanyang";2.0;NED;M;1845;2330;+0.29; 1.5; 1.5
3;"Kokkula, Advaith Krishna";2.0;NED;M;1636;2084;+0.22; 1.5; 1.5
4;"Methlouthi, Aly";2.0;NED;M;1485;2249;+0.93; 1.5; 1.5
5;"Kruger, Derik";2.0;NED;M;1693;2269;+0.45; 1.0; 1.0
6;"Patil, Anay";1.0;NED;M;1686;1438;-0.61; 3.0; 1.0
7;"Li, Vince";1.0;NED;M;1481;1778;+0.67; 3.0; 1.0
8;"Udhaya Kumar, Medhini";1.0;NED;F;1167;767;-0.08; 2.5; 0.5
9;"Pata, Teodor-Stefan";1.0;NED;M;1615;1549;-0.11; 2.0; 0.0
10;"Ng, Thomas";1.0;NED;M;1533;1467;-0.14; 2.0; 0.0
11;"Küçük, Çinar";1.0;NED;M;1368;1458;+0.19; 2.0; 0.0
12;"Brik, Yazan";1.0;NED;M;1331;1521;+0.46; 2.0; 0.0
13;"Roghair, Tommie";1.0;NED;M;1211;685;-0.17; 2.0; 0.0
14;"Ma, Tim";1.0;NED;M;1990;1590;-0.84; 1.5; 0.5
15;"Lalkota, Srikar";1.0;NED;M;1228;1468;+0.59; 1.0; 0.5
16;"Jin, Hongyi";1.0;NED;M;1390;1469;+0.16; 1.0; 0.0
17;"Penugurti, Advika Satya";0.5;FID;F;1412;1327;-0.32; 3.0; 0.5
18;"Gafurov, Damir";0.5;NED;M;1524;1383;-0.43; 2.0; 0.5
19;"Knippels, Tim";0.0;NED;M;1405;712;-0.76; 3.0; 0.0
20;"Gang, Luke Wan Cheng";0.0;NED;M;1252;703;-0.41; 2.0; 0.0
21;"Ding, David";0.0;NED;M;1241;651;-0.48; 2.0; 0.0
