Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Leenen, Boyd";3.0;NED;M;2096;1996;-0.36;10.5; 7.5
2;"Bruls, Sven";3.0;NED;M;1784;1908;+0.55; 9.0; 6.0
3;"Huang, Vincent";3.0;NED;M;1883;1980;+0.58; 8.5; 6.25
4;"Lalkota, Sai Pranav Tejas";3.0;NED;M;1849;2025;+0.69; 7.5; 4.75
5;"Zhou, Yanyang";2.5;NED;M;1867;1700;-0.56; 8.5; 4.0
6;"Van Houtert, Lennart";2.0;NED;M;1737;1729;-0.02;10.0; 4.5
7;"Morgan, Finn";2.0;NED;M;0;1309;1309; 9.5; 3.0
8;"Methlouthi, Aly";2.0;NED;M;1386;985;-0.16; 8.5; 2.5
9;"Zhang, Eric";2.0;NED;M;1505;1068;-0.21; 7.5; 2.5
10;"Verstegen, Jonas";2.0;NED;M;1830;1708;-0.43; 7.0; 2.75
11;"Lalkota, Srikar";2.0;NED;M;1334;934;-0.08; 5.5; 1.5
12;"Leenen, Bing";1.5;NED;M;0;1244;1244; 7.0; 2.0
13;"Khuat Duy, Vincent";1.0;NED;M;0;883; 883; 9.0; 1.5
