Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Zhou, Yanyang";6.0;NED;M;1845;2368;+1.08;22.5;22.5
2;"Kruger, Derik";5.0;NED;M;1693;1869;+1.27;20.5;14.5
3;"Pata, Teodor-Stefan";4.5;NED;M;1615;1669;+0.57;21.5;14.0
4;"Plukkel, Guus";4.0;NED;M;1674;1649;-0.02;22.0;11.0
5;"Li, Vince";4.0;NED;M;1481;1656;+1.37;18.5;10.0
6;"Lalkota, Srikar";4.0;NED;M;1228;1630;+2.93;17.0; 9.75
7;"Penugurti, Advika Satya";3.5;FID;F;1412;1514;+0.56;23.5;11.0
8;"Kokkula, Advaith Krishna";3.0;NED;M;1636;1558;-0.55;21.5; 8.25
9;"Methlouthi, Aly";3.0;NED;M;1485;1504;+0.20;20.5; 7.5
10;"Ng, Thomas";3.0;NED;M;1533;1414;-0.75;19.5; 5.5
11;"Roghair, Tommie";3.0;NED;M;1211;1370;+0.85;18.5; 7.5
12;"Gafurov, Damir";3.0;NED;M;1524;1426;-0.71;18.0; 7.75
13;"Jin, Hongyi";3.0;NED;M;1390;1349;-0.35;11.5; 3.5
14;"Ma, Tim";2.5;NED;M;1990;1697;-1.15;23.0; 5.5
15;"Patil, Anay";2.5;NED;M;1686;1327;-2.55;17.5; 5.75
16;"Brik, Yazan";2.0;NED;M;1331;1615;+1.27;24.0; 4.5
17;"Küçük, Çinar";2.0;NED;M;1368;1220;-1.05;19.0; 4.0
18;"Gang, Luke Wan Cheng";2.0;NED;M;1252;1173;-0.63;14.5; 2.5
19;"Ding, David";2.0;NED;M;1241;1257;+0.06;12.5; 3.5
20;"Knippels, Tim";1.0;NED;M;1405;622;-1.48;19.5; 1.5
21;"Udhaya Kumar, Medhini";1.0;NED;F;1167;645;-0.92;17.0; 3.0
